,Ссылка,Комнаты,Цена,Цена за метр,Метро,Время до метро(мин),Площадь(м2),Максимальный этаж,Этаж,Тип строения,Тип жилья
84,https://krasnogorsk.cian.ru/sale/flat/301868953/,1,6600000,146667,Аникеевка,13,45,8,8,Квартира,Вторичка
85,https://www.cian.ru/sale/flat/301868947/,1,14000000,514706,Авиамоторная,10,27.2,27,23,Квартира,Вторичка
86,https://odintsovo.cian.ru/sale/flat/301868946/,1,7700000,248387,Рассказовка,19,31,24,21,Квартира,Вторичка
87,https://krasnogorsk.cian.ru/sale/flat/301868650/,2,10500000,177066,Митино,6,59.3,12,12,Квартира,Вторичка
88,https://www.cian.ru/sale/flat/301868637/,2,16790000,324758,Кунцевская,6,51.7,17,12,Квартира,Вторичка
89,https://krasnogorsk.cian.ru/sale/flat/301868601/,1,6700000,216129,Нахабино,4,31,8,5,Квартира,Вторичка
90,https://www.cian.ru/sale/flat/301868532/,3,16900000,277504,Яхромская,12,60.9,9,8,Квартира,Вторичка
91,https://www.cian.ru/sale/flat/301868458/,1,7000000,333333,Чертановская,13,21,6,2,Апартаменты,Вторичка
92,https://www.cian.ru/sale/flat/301868443/,2,21999000,392139,Озёрная,9,56.1,23,12,Квартира,Вторичка
93,https://www.cian.ru/sale/flat/301868442/,1,7450000,191026,Зеленоград — Крюково,19,39,14,5,Квартира,Вторичка
94,https://lyubertsy.cian.ru/sale/flat/301868435/,1,8000000,183486,Люберцы,16,43.6,17,6,Квартира,Вторичка
95,https://www.cian.ru/sale/flat/301868434/,2,7300000,173810,Щербинка,12,42,4,1,Квартира,Вторичка
96,https://www.cian.ru/sale/flat/301868297/,2,19500000,325000,Площадь Ильича,4,60,16,9,Квартира,Вторичка
97,https://www.cian.ru/sale/flat/301868283/,1,7550000,269643,Зюзино,15,28,5,4,Апартаменты,Вторичка
98,https://aprelevka.cian.ru/sale/flat/301868278/,2,13000000,180556,Апрелевка,16,72,14,14,Квартира,Вторичка
99,https://www.cian.ru/sale/flat/301868247/,2,23999999,648649,Аминьевская,8,37,9,2,Квартира,Вторичка
100,https://www.cian.ru/sale/flat/301868226/,1,9700000,297546,Пражская,8,32.6,9,7,Квартира,Вторичка
101,https://www.cian.ru/sale/flat/301868210/,3,45000000,600000,Народное Ополчение,12,75,32,25,Квартира,Вторичка
102,https://www.cian.ru/sale/flat/301868120/,1,12500000,304878,Рассказовка,17,41,9,8,Квартира,Вторичка
103,https://odintsovo.cian.ru/sale/flat/301868107/,2,9500000,158333,Лесной Городок,14,60,15,14,Квартира,Вторичка
104,https://www.cian.ru/sale/flat/301868099/,1,9800000,251282,Марьино,20,39,12,4,Квартира,Вторичка
105,https://www.cian.ru/sale/flat/301868096/,1,8500000,265625,Коммунарка,6,32,25,20,Квартира,Вторичка
106,https://www.cian.ru/sale/flat/301867946/,3,28000000,366013,Улица Милашенкова,11,76.5,17,9,Квартира,Вторичка
107,https://lyubertsy.cian.ru/sale/flat/301867608/,2,8500000,189732,Лухмановская,20,44.8,5,1,Квартира,Вторичка
108,https://www.cian.ru/sale/flat/301867588/,3,64000000,533333,Третьяковская,1,120,5,3,Квартира,Вторичка
109,https://khimki.cian.ru/sale/flat/301866771/,2,8000000,195122,Сходня,10,41,17,10,Квартира,Вторичка
110,https://www.cian.ru/sale/flat/301866765/,2,43000000,614286,Матвеевская,16,70,15,3,Квартира,Вторичка
111,https://balashikha.cian.ru/sale/flat/301866374/,2,8300000,159309,Кучино,8,52.1,14,9,Квартира,Вторичка
112,https://www.cian.ru/sale/flat/301866357/,4,75000000,590551,Ботанический сад,13,127,35,25,Квартира,Вторичка
113,https://balashikha.cian.ru/sale/flat/301866348/,2,7250000,162921,Ольгино,7,44.5,5,5,Квартира,Вторичка
114,https://www.cian.ru/sale/flat/301866241/,1,9100000,356863,Менделеевская,11,25.5,10,10,Апартаменты,Вторичка
115,https://www.cian.ru/sale/flat/301866201/,2,16900000,356540,Бауманская,5,47.4,9,4,Квартира,Вторичка
116,https://krasnogorsk.cian.ru/sale/flat/301865704/,2,5700000,172466,Нахабино,9,33.05,6,3,Квартира,Новостройка
117,https://www.cian.ru/sale/flat/301865519/,2,11900000,259259,Алтуфьево,15,45.9,12,2,Квартира,Вторичка
118,https://www.cian.ru/sale/flat/301865498/,2,12600000,268085,Ботанический сад,18,47,20,9,Апартаменты,Вторичка
119,https://krasnogorsk.cian.ru/sale/flat/301865271/,2,11400000,188119,Волоколамская,18,60.6,19,5,Квартира,Вторичка
120,https://www.cian.ru/sale/flat/301865026/,3,120000000,864553,Октябрьская,9,138.8,18,17,Квартира,Вторичка
121,https://odintsovo.cian.ru/sale/flat/301864929/,3,13500000,174194,Кунцевская,14,77.5,25,22,Квартира,Вторичка
122,https://www.cian.ru/sale/flat/301864314/,2,28300000,474832,Народное Ополчение,11,59.6,21,2,Квартира,Вторичка
123,https://www.cian.ru/sale/flat/301864250/,1,13600000,345178,Говорово,15,39.4,25,9,Квартира,Вторичка
124,https://lyubertsy.cian.ru/sale/flat/301864243/,1,4450000,175197,Жулебино,17,25.4,6,3,Квартира,Вторичка
125,https://khimki.cian.ru/sale/flat/301863065/,1,8000000,238806,Беломорская,9,33.5,9,6,Квартира,Вторичка
126,https://www.cian.ru/sale/flat/301862759/,1,6300000,318182,Щербинка,18,19.8,9,2,Квартира,Вторичка
127,https://odintsovo.cian.ru/sale/flat/301862421/,2,13400000,217886,Кунцевская,14,61.5,22,13,Квартира,Вторичка
128,https://www.cian.ru/sale/flat/301862238/,1,12500000,331565,Аннино,6,37.7,16,6,Квартира,Вторичка
